Mod:Item:MetaData, Localized Name
draconicevolution:energy_crystal:2, Draconic Energy Relay Crystal
draconicevolution:energy_crystal:3, Basic Energy I/O Crystal
draconicevolution:energy_crystal:4, Wyvern Energy I/O Crystal
draconicevolution:energy_crystal:5, Draconic Energy I/O Crystal
draconicevolution:energy_crystal:6, Basic Wireless Energy Crystal
draconicevolution:energy_crystal:7, Wyvern Wireless Energy Crystal
draconicevolution:energy_crystal:8, Draconic Wireless Energy Crystal
draconicevolution:flow_gate:0, Flux Gate
draconicevolution:flow_gate:8, Fluid Gate
draconicevolution:reactor_core, Draconic Reactor Core
draconicevolution:reactor_part:0, Reactor Stabilizer Frame
draconicevolution:reactor_part:1, Reactor Stabilizer Inner Rotor
draconicevolution:reactor_part:2, Reactor Stabilizer Outer Rotor
draconicevolution:reactor_part:3, Reactor Stabilizer Rotor Assembly
draconicevolution:reactor_part:4, Reactor Stabilizer Focus Ring
draconicevolution:reactor_component:0, Reactor Stabilizer
draconicevolution:reactor_component:1, Reactor Energy Injector
draconicevolution:draconic_spawner, Stabilized Mob Spawner
draconicevolution:draconium_chest, Draconium Chest
draconicevolution:chaos_crystal, Chaos Crystal
draconicevolution:chaos_shard_atmos, tile.draconicevolution:chaos_shard_atmos.name
draconicevolution:creative_rf_source, Creative RF Source
draconicevolution:placed_item, tile.draconicevolution:placed_item.name
draconicevolution:draconium_dust, Draconium Dust
draconicevolution:draconium_ingot, Draconium Ingot
draconicevolution:draconic_ingot, Awakened Draconium Ingot
draconicevolution:draconic_core, Draconic Core
draconicevolution:wyvern_core, Wyvern Core
draconicevolution:awakened_core, Awakened Core
draconicevolution:chaotic_core, Chaotic Core
draconicevolution:wyvern_energy_core, Wyvern Energy Core
draconicevolution:draconic_energy_core, Draconic Energy Core
draconicevolution:dragon_heart, Dragon Heart
draconicevolution:debugger, item.draconicevolution:debugger.name
draconicevolution:nugget:0, Draconium Nugget
draconicevolution:nugget:1, Awakened Draconium Nugget
draconicevolution:chaos_shard:0, Chaos Shard
draconicevolution:chaos_shard:1, Large Chaos Fragment
draconicevolution:chaos_shard:2, Small Chaos Fragment
draconicevolution:chaos_shard:3, Tiny Chaos Fragment
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:2, Creative Flux Capacitor
draconicevolution:wyvern_axe, Axe of the Wyvern
draconicevolution:wyvern_bow, Bow of the Wyvern
draconicevolution:wyvern_pick, Pickaxe of the Wyvern
draconicevolution:wyvern_shovel, Shovel of the Wyvern
draconicevolution:wyvern_sword, Sword of the Wyvern
draconicevolution:draconic_axe, Draconic Axe
draconicevolution:draconic_bow, Draconic Bow
draconicevolution:draconic_hoe, Draconic Hoe
draconicevolution:draconic_pick, Draconic Pickaxe
draconicevolution:draconic_shovel, Draconic Shovel
draconicevolution:draconic_staff_of_power, Draconic Staff of Power
draconicevolution:draconic_sword, Draconic Sword
draconicevolution:tool_upgrade:0, Upgrade Key (RF Capacity)
draconicevolution:tool_upgrade:1, Upgrade Key (Dig Speed)
draconicevolution:tool_upgrade:2, Upgrade Key (Dig AOE)
draconicevolution:tool_upgrade:3, Upgrade Key (Attack Damage)
draconicevolution:tool_upgrade:4, Upgrade Key (Attack AOE)
draconicevolution:tool_upgrade:5, Upgrade Key (Arrow Damage)
draconicevolution:tool_upgrade:6, Upgrade Key (Draw Speed)
draconicevolution:tool_upgrade:7, Upgrade Key (Arrow Speed)
draconicevolution:tool_upgrade:8, Upgrade Key (Shield Capacity)
draconicevolution:tool_upgrade:9, Upgrade Key (Shield Recovery)
draconicevolution:tool_upgrade:10, Upgrade Key (Movement Speed)
draconicevolution:tool_upgrade:11, Upgrade Key (Jump Boost)
draconicevolution:dislocator, Dislocator
draconicevolution:dislocator_advanced, Advanced Dislocator
draconicevolution:dislocator_bound:1, Bound Dislocator (Point to Point)
draconicevolution:dislocator_bound:2, Bound Dislocator (Player)
draconicevolution:magnet:0, Item Dislocator
draconicevolution:magnet:1, Awakened Item Dislocator
draconicevolution:crystal_binder, Crystal Binder
draconicevolution:wyvern_helm, Wyvern Helm
draconicevolution:wyvern_chest, Wyvern Chestplate
draconicevolution:wyvern_legs, Wyvern Leggings
draconicevolution:wyvern_boots, Wyvern Boots
draconicevolution:draconic_helm, Draconic Helm
draconicevolution:draconic_chest, Draconic Chestplate
draconicevolution:draconic_legs, Draconic Leggings
draconicevolution:draconic_boots, Draconic Boots
draconicevolution:info_tablet, Draconic Evolution Information Tablet
draconicevolution:mob_soul, Soul
draconicevolution:creative_exchanger, Creative Block Exchanger
draconicevolution:ender_energy_manipulator, Ender Energy Manipulator
draconicadditions:inert_potato_helm, Inert Potato Helmet
draconicadditions:inert_potato_chest, Inert Potato Chestplate
draconicadditions:inert_potato_legs, Inert Potato Leggings
draconicadditions:inert_potato_boots, Inert Potato Boots
draconicadditions:chaos_heart, Corrupted Dragon Heart
draconicadditions:chaotic_energy_core, Chaotic Energy Core
draconicadditions:hermal, Hermal
draconicadditions:chaos_stabilizer_core, Chaos Stabilizer Core
draconicadditions:armor_generator, Armor Generator
draconicadditions:chaotic_armor_generator, Chaotic Armor Generator
draconicadditions:item_drainer, Item Drainer
draconicadditions:chaos_liquefier, Chaos Liquefier
draconicadditions:capacitor_supplier, Capacitor Supplier
draconicadditions:chaotic_staff_of_power, Chaotic Staff of Power
draconicadditions:chaotic_bow, Chaotic Bow
draconicadditions:chaos_container, Chaos Container
draconicadditions:portable_wired_charger:0, Portable Wired Basic Charger
draconicadditions:portable_wired_charger:1, Portable Wired Wyvern Charger
draconicadditions:portable_wired_charger:2, Portable Wired Draconic Charger
draconicadditions:portable_wired_charger:3, Portable Wired Chaotic Charger
draconicadditions:portable_wired_discharger:0, Portable Wired Basic Discharger
draconicadditions:portable_wired_discharger:1, Portable Wired Wyvern Discharger
draconicadditions:portable_wired_discharger:2, Portable Wired Draconic Discharger
draconicadditions:portable_wired_discharger:3, Portable Wired Chaotic Discharger
draconicadditions:infused_potato_helm, Infused Potato Helmet
draconicadditions:infused_potato_chest, Infused Potato Chestplate
draconicadditions:infused_potato_legs, Infused Potato Leggings
draconicadditions:infused_potato_boots, Infused Potato Boots
draconicadditions:potato_helm, Energized Potato Helmet
draconicadditions:potato_chest, Energized Potato Chestplate
draconicadditions:potato_legs, Energized Potato Leggings
draconicadditions:potato_boots, Energized Potato Boots
draconicadditions:hermal_helm, Hermal Infused Helmet
draconicadditions:hermal_chest, Hermal Infused Chestplate
draconicadditions:hermal_legs, Hermal Infused Leggings
draconicadditions:hermal_boots, Hermal Infused Boots
draconicadditions:chaotic_helm, Chaotic Helmet
draconicadditions:chaotic_chest, Chaotic Chestplate
draconicadditions:chaotic_legs, Chaotic Leggings
draconicadditions:chaotic_boots, Chaotic Boots
draconicadditions:basic_shield_necklace, Basic Necklace of Shielding
draconicadditions:wyvern_shield_necklace, Wyvern Necklace of Shielding
draconicadditions:draconic_shield_necklace, Draconic Necklace of Shielding
draconicadditions:overload_belt, Draconic Belt of Overloading
draconicadditions:vampiric_shirt, Draconic Undershirt of Self-Siphoning
draconicadditions:inertia_cancel_ring, Ring of Inertia Cancellation
draconicadditions:chaos_crystal_stable, Semi-Stable Chaos Crystal
thermalexpansion:machine:0, Redstone Furnace (Basic)
thermalexpansion:machine:1, Pulverizer (Basic)
thermalexpansion:machine:2, Sawmill (Basic)
thermalexpansion:machine:3, Induction Smelter (Basic)
thermalexpansion:machine:4, Phytogenic Insolator (Basic)
thermalexpansion:machine:5, Compactor (Basic)
thermalexpansion:machine:6, Magma Crucible (Basic)
thermalexpansion:machine:7, Fractionating Still (Basic)
thermalexpansion:machine:8, Fluid Transposer (Basic)
thermalexpansion:machine:9, Energetic Infuser (Basic)
thermalexpansion:machine:10, Centrifugal Separator (Basic)
thermalexpansion:machine:11, Sequential Fabricator (Basic)
thermalexpansion:machine:12, Alchemical Imbuer (Basic)
thermalexpansion:machine:13, Arcane Ensorcellator (Basic)
thermalexpansion:machine:14, Glacial Precipitator (Basic)
thermalexpansion:machine:15, Igneous Extruder (Basic)
thermalexpansion:device:0, Aqueous Accumulator
thermalexpansion:device:1, Nullifier
thermalexpansion:device:2, Thermal Mediator
thermalexpansion:device:3, Arboreal Extractor
thermalexpansion:device:4, Aquatic Entangler
thermalexpansion:device:5, Item Allocator
thermalexpansion:device:6, Fluid Allocator
thermalexpansion:device:7, Lexical Transmuter
thermalexpansion:device:8, Insightful Condenser
thermalexpansion:device:9, Decoctive Diffuser
thermalexpansion:device:10, Factorizer
thermalexpansion:device:11, Creature Encaptulator
thermalexpansion:device:12, Vacuumulator
thermalexpansion:dynamo:0, Steam Dynamo (Basic)
thermalexpansion:dynamo:1, Magmatic Dynamo (Basic)
thermalexpansion:dynamo:2, Compression Dynamo (Basic)
thermalexpansion:dynamo:3, Reactant Dynamo (Basic)
thermalexpansion:dynamo:4, Enervation Dynamo (Basic)
thermalexpansion:dynamo:5, Numismatic Dynamo (Basic)
thermalexpansion:cell:0, Energy Cell (Basic)
thermalexpansion:tank:0, Portable Tank (Basic)
thermalexpansion:cache:0, Cache (Basic)
thermalexpansion:strongbox:0, Strongbox (Basic)
thermalexpansion:capacitor:0, Flux Capacitor (Basic)
thermalexpansion:capacitor:1, Flux Capacitor (Hardened)
thermalexpansion:capacitor:2, Flux Capacitor (Reinforced)
thermalexpansion:capacitor:3, Flux Capacitor (Signalum)
thermalexpansion:capacitor:4, Flux Capacitor (Resonant)
thermalexpansion:capacitor:32000, Flux Capacitor (Creative)
thermalexpansion:reservoir:0, Reservoir (Basic)
thermalexpansion:reservoir:1, Reservoir (Hardened)
thermalexpansion:reservoir:2, Reservoir (Reinforced)
thermalexpansion:reservoir:3, Reservoir (Signalum)
thermalexpansion:reservoir:4, Reservoir (Resonant)
thermalexpansion:reservoir:32000, Reservoir (Creative)
thermalexpansion:satchel:0, Satchel (Basic)
thermalexpansion:satchel:1, Satchel (Hardened)
thermalexpansion:satchel:2, Satchel (Reinforced)
thermalexpansion:satchel:3, Satchel (Signalum)
thermalexpansion:satchel:4, Satchel (Resonant)
thermalexpansion:satchel:100, Satchel (Void)
thermalexpansion:satchel:32000, Satchel (Creative)
thermalexpansion:frame:0, Machine Frame
thermalexpansion:frame:64, Device Frame
thermalexpansion:frame:128, Energy Cell Frame
thermalexpansion:frame:129, Hardened Cell Frame
thermalexpansion:frame:130, Reinforced Cell Frame (Empty)
thermalexpansion:frame:131, Signalum Cell Frame (Empty)
thermalexpansion:frame:132, Resonant Cell Frame (Empty)
thermalexpansion:frame:146, Reinforced Cell Frame (Full)
thermalexpansion:frame:147, Signalum Cell Frame (Full)
thermalexpansion:frame:148, Resonant Cell Frame (Full)
thermalexpansion:augment:128, Augment: Auxiliary Reception Coil
thermalexpansion:augment:129, Augment: Auxiliary Sieve
thermalexpansion:augment:130, Augment: Nullification Chamber
thermalexpansion:augment:256, Augment: Trivection Chamber
thermalexpansion:augment:257, Augment: Flux Anodizers
thermalexpansion:augment:258, Augment: Pyrolytic Conversion
thermalexpansion:augment:273, Augment: Tectonic Initiator
thermalexpansion:augment:288, Augment: Resin Funnel
thermalexpansion:augment:303, Augment: Metallurgical Recovery
thermalexpansion:augment:304, Augment: Pyro-Concentrator
thermalexpansion:augment:320, Augment: Nutrient Recovery
thermalexpansion:augment:323, Augment: Sapling Infuser
thermalexpansion:augment:324, Augment: Monoculture Cycle
thermalexpansion:augment:336, Augment: Numismatic Press
thermalexpansion:augment:337, Augment: Gearworking Die
thermalexpansion:augment:352, Augment: Pyroconvective Loop
thermalexpansion:augment:368, Augment: Reflux Column
thermalexpansion:augment:369, Augment: Alchemical Retort
thermalexpansion:augment:400, Augment: Flux Linkage Concentrator
thermalexpansion:augment:401, Augment: Flux Reconstruction
thermalexpansion:augment:402, Augment: Parabolic Flux Coupling
thermalexpansion:augment:416, Augment: Enstabulation Apparatus
thermalexpansion:augment:432, Augment: Pattern Validation
thermalexpansion:augment:433, Augment: Fluidic Fabrication
thermalexpansion:augment:448, Augment: Reagent Recovery
thermalexpansion:augment:496, Augment: Pyroclastic Injection
thermalexpansion:augment:497, Augment: Clastic Deposition
thermalexpansion:augment:512, Augment: Auxiliary Transmission Coil
thermalexpansion:augment:513, Augment: Fuel Catalyzer
thermalexpansion:augment:514, Augment: Transmission Coil Ducting
thermalexpansion:augment:515, Augment: Excitation Field Limiter
thermalexpansion:augment:576, Augment: Boiler Conversion
thermalexpansion:augment:640, Augment: Turbine Conversion
thermalexpansion:augment:656, Augment: Isentropic Reservoir
thermalexpansion:augment:672, Augment: Closed-Loop Cooling
thermalexpansion:augment:673, Augment: Ignition Plugs
thermalexpansion:augment:674, Augment: Agitative Manifold
thermalexpansion:augment:688, Augment: Elemental Catalyzer
thermalexpansion:augment:704, Augment: Disjunctive Extraction
thermalexpansion:augment:720, Augment: Lapidary Calibration
thermalexpansion:florb:0, Florb (Empty§r)
thermalexpansion:florb:1, Magmatic Florb (Empty§r)
thermalexpansion:morb:0, Morb (Empty§r)
thermalexpansion:morb:1, Reusable Morb (Empty§r)
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
extracells:part.base:0, ME Fluid Export Bus
extracells:part.base:1, ME Fluid Import Bus
extracells:part.base:2, ME Fluid Storage Bus
extracells:part.base:3, ME Fluid Terminal
extracells:part.base:4, ME Fluid Level Emitter
extracells:part.base:5, ME Fluid Annihilation Plane
extracells:part.base:6, ME Fluid Formation Plane
extracells:part.base:7, ME Drive Fixture
extracells:part.base:8, ME Energy Cell Fixture
extracells:part.base:9, ME Fluid Interface
extracells:part.base:10, ME Fluid Storage Monitor
extracells:part.base:11, ME Fluid Conversion Monitor
extracells:part.base:12, ME Ore Dictionary Export Bus
extracells:storage.fluid:0, ME 1k Fluid Storage Cell
extracells:storage.fluid:1, ME 4k Fluid Storage Cell
extracells:storage.fluid:2, ME 16k Fluid Storage Cell
extracells:storage.fluid:3, ME 64k Fluid Storage Cell
extracells:storage.fluid:4, ME 256k Fluid Storage Cell
extracells:storage.fluid:5, ME 1024k Fluid Storage Cell
extracells:storage.fluid:6, ME 4096k Fluid Storage Cell
extracells:storage.physical:0, ME 256k Storage Cell
extracells:storage.physical:1, ME 1024k Storage Cell
extracells:storage.physical:2, ME 4096k Storage Cell
extracells:storage.physical:3, ME 16384k Storage Cell
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.physical:4, ME Block Container - Empty
extracells:pattern.fluid:0, ME Fluid Pattern
extracells:pattern.fluid:0, ME Fluid Pattern: Water
extracells:pattern.fluid:0, ME Fluid Pattern: Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Gold
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Pigiron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Cobalt
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ardite
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Manyullyn
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Knightslime
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Aluminum Brass
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Alumite
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Brass
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Copper
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Tin
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Bronze
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Zinc
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lead
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Nickel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Silver
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Electrum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Steel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Aluminum
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Coralium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Antimatter
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Abyssalnite
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Refined Coralium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Dreadium
extracells:pattern.fluid:0, ME Fluid Pattern: UU-Matter
extracells:pattern.fluid:0, ME Fluid Pattern: Construction Foam
extracells:pattern.fluid:0, ME Fluid Pattern: IC2 Coolant
extracells:pattern.fluid:0, ME Fluid Pattern: Creosote
extracells:pattern.fluid:0, ME Fluid Pattern: IC2 Hot Coolant
extracells:pattern.fluid:0, ME Fluid Pattern: Pahoehoe Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Biomass
extracells:pattern.fluid:0, ME Fluid Pattern: Biogas
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Water
extracells:pattern.fluid:0, ME Fluid Pattern: Superheated Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Hotspring Water
extracells:pattern.fluid:0, ME Fluid Pattern: Weed-Ex
extracells:pattern.fluid:0, ME Fluid Pattern: Air
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Water
extracells:pattern.fluid:0, ME Fluid Pattern: Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Quicksand
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Blood
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Spring Water
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Creosote Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Liquifacted Coal
extracells:pattern.fluid:0, ME Fluid Pattern: Crude Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Naphtha
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Syrup
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Tree Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Seed Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Biocrude
extracells:pattern.fluid:0, ME Fluid Pattern: Grassoline
extracells:pattern.fluid:0, ME Fluid Pattern: Mushroom Stew
extracells:pattern.fluid:0, ME Fluid Pattern: Essence of Knowledge
extracells:pattern.fluid:0, ME Fluid Pattern: Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Splash Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Lingering Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Destabilized Redstone
extracells:pattern.fluid:0, ME Fluid Pattern: Energized Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Resonant Ender
extracells:pattern.fluid:0, ME Fluid Pattern: Blazing Pyrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Gelid Cryotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Zephyrean Aerotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Tectonic Petrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Primal Mana
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Platinum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Iridium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Invar
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Constantan
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Signalum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lumium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Enderium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ancient Silver
extracells:pattern.fluid:0, ME Fluid Pattern: Mana
extracells:pattern.fluid:0, ME Fluid Pattern: Blood
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: Evil Infused Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Enchanted Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Demon Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Tar
extracells:pattern.fluid:0, ME Fluid Pattern: Berylium
extracells:pattern.fluid:0, ME Fluid Pattern: Calcium
extracells:pattern.fluid:0, ME Fluid Pattern: Calcium Carbonate
extracells:pattern.fluid:0, ME Fluid Pattern: Chlorite
extracells:pattern.fluid:0, ME Fluid Pattern: Diesel
extracells:pattern.fluid:0, ME Fluid Pattern: Glyceryl
extracells:pattern.fluid:0, ME Fluid Pattern: Helium Plasma
extracells:pattern.fluid:0, ME Fluid Pattern: Lithium
extracells:pattern.fluid:0, ME Fluid Pattern: Mercury
extracells:pattern.fluid:0, ME Fluid Pattern: Nitro-Coalfuel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitro-Diesel
extracells:pattern.fluid:0, ME Fluid Pattern: Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Potassium
extracells:pattern.fluid:0, ME Fluid Pattern: Seed Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Silicon
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium Persulfate
extracells:pattern.fluid:0, ME Fluid Pattern: Wolframium
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Deuterium
extracells:pattern.fluid:0, ME Fluid Pattern: Tritium
extracells:pattern.fluid:0, ME Fluid Pattern: Helium
extracells:pattern.fluid:0, ME Fluid Pattern: Helium-3
extracells:pattern.fluid:0, ME Fluid Pattern: Methane
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogen Dioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Latex
extracells:pattern.fluid:0, ME Fluid Pattern: Sewage
extracells:pattern.fluid:0, ME Fluid Pattern: Sludge
extracells:pattern.fluid:0, ME Fluid Pattern: Biofuel
extracells:pattern.fluid:0, ME Fluid Pattern: Pink Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Protein
extracells:pattern.fluid:0, ME Fluid Pattern: Raw Ore Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Ore Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Reinforced Pink Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Sunnarium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Sky Stone
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Fluix Steel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Starmetal
extracells:pattern.fluid:0, ME Fluid Pattern: Amorphous Crystal Matrix
extracells:pattern.fluid:0, ME Fluid Pattern: Hyperdense Neutron Fluid
extracells:pattern.fluid:0, ME Fluid Pattern: Flow of Infinity
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Bound Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Fluidic Sentience
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Livingrock
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Manasteel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Terrasteel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Elementium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Draconium
extracells:pattern.fluid:0, ME Fluid Pattern: Wyvern Coalescence
extracells:pattern.fluid:0, ME Fluid Pattern: Draconic Coalescence
extracells:pattern.fluid:0, ME Fluid Pattern: Destructured Chaos
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Mica
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Metallic Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Pink Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Energium Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic UU-Metal Alloy
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Osmium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Refined Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Refined Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Dark Liquid
extracells:pattern.fluid:0, ME Fluid Pattern: Red Liquid
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Fluxed Electrum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Gelid Enderium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Thaumium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Void Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Primal Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid XP
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Corruption
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Spectrite
extracells:pattern.fluid:0, ME Fluid Pattern: Seared Stone
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Clay
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Dirt
extracells:pattern.fluid:0, ME Fluid Pattern: Calcium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Emerald
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Diamond
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Glass
extracells:pattern.fluid:0, ME Fluid Pattern: Venom
extracells:pattern.fluid:0, ME Fluid Pattern: Blazin' Blood
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Green Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Blue Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Purple Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Life Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Ichor
extracells:pattern.fluid:0, ME Fluid Pattern: Pure Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Starlight
extracells:terminal.fluid.wireless, item.extracells.terminal.fluid.wireless.name
extracells:storage.component:0, 256k ME Storage Component
extracells:storage.component:1, 1024k ME Storage Component
extracells:storage.component:2, 4096k ME Storage Component
extracells:storage.component:3, 16384k ME Storage Component
extracells:storage.component:4, 1k ME Fluid Storage Component
extracells:storage.component:5, 4k ME Fluid Storage Component
extracells:storage.component:6, 16k ME Fluid Storage Component
extracells:storage.component:7, 64k ME Fluid Storage Component
extracells:storage.component:8, 256k ME Fluid Storage Component
extracells:storage.component:9, 1024k ME Fluid Storage Component
extracells:storage.component:10, 4096k ME Fluid Storage Component
extracells:storage.casing:0, Advanced Storage Housing
extracells:storage.casing:1, Fluid Storage Housing
extracells:fluid.item, item.extracells.fluid.item.name
extracells:storage.fluid.portable:0, ME Portable Fluid Storage
extracells:storage.fluid.portable:0, ME Portable Fluid Storage
extracells:pattern.crafting, item.extracells.pattern.crafting.name
extracells:terminal.universal.wireless, item.extracells.terminal.universal.wireless.name
extracells:certustank, extracells.block.certustank.name
extracells:walrus, Walrus
extracells:fluidcrafter, ME Fluid Assembler
